Index_Place,City,Name_SMEs,General_Category,Specialty,Price_Range,Rating,Goods,Description,Contact
J_50,Jakarta,SEMPRONG ISI BEST SELLER,Munchies,Semprong,25.000-50.000,4.9,Snack,"SEMPRONG ISI BEST SELLER menjual semprong yang terdiri dari 12 varian rasa, seperti coklat, nutella, keju, durian, dan lain sebagainya. Semprong isi best seller menjual semprong dengan bahan baku yang berkualitas dan tidak menggunakan pengawet. ",https://www.tokopedia.com/semprongisi
J_51,Jakarta,Camilove Indonesia (Aneka Kue Kering),Munchies,Kue kering,25.000-50.000,4,Snack,"Camilove Indonesia (Aneka Kue Kering) menjual beraneka macam kue kering, seperti lidah kucing, garut, kastengel, dan lain sebagainya dengan harga yang terjangkau.",085881953133
J_52,Jakarta,Karin Kukis,Munchies,Cookies Karakter,>50.000,4.7,Snack,Karin Kukis menjual beraneka ragam jenis cookies yang dapat digunakan sebagai hantaran ulang tahun. Karin Kukis menjual cookies yang bisa dicustom sesuai dengan keinginan penjual.,081382314736
J_53,Jakarta,Roti Buaya Bas Snack,Munchies,Roti Buaya besar,>50.000,4.6,Snack,Roti Buaya Bas Snack menjual roti khas betawi yang berbentuk buaya dengan ukuran yang besar. Roti Buaya yang dijual oleh UMKM ini cocok digunakan untuk snack pada berbagai macam acara.,082210671998
J_54,Jakarta,Rumah Roti Ciracas,Munchies,Roti Buaya mini,<25.000,5,Street Snacks,"Rumah Roti Ciracas menyediakan roti buaya berukuran kecil. Selain itu, toko ini juga menjual beranekan ragam jenis roti, seperti roti pizza sosis, roti sosis mayo, roti coklat, roti abon, dan lain sebagainya yang dijual dengan harga terjangkau dan menggunakan bahan yang berkualitas.",083898188891
J_55,Jakarta,Juragan Roti,Munchies,Roti Buaya mini,<25.000,5,Street Snacks,"Juragan Roti menjual roti buaya khas betawi yang berukuran kecil, sehingga cocok untuk dijadikan sebagai camilan.",https://www.tokopedia.com/rotijuragan
J_56,Jakarta,Es Podeng Pandawa,Munchies,Es Podeng,<25.000,3.3,Street Snacks,"Es Podeng Pandawa menjual es podeng yang merupakan nama lain dari es puter yang dilengkapi dengan berbagai topping, seperti susu kental manis, meses, roti tawar, alpukat, dan lain sebagainya. Cocok dijadikan sebagai hidangan penutup yang menyegarkan. ",https://www.instagram.com/espodengpandawabarito/?hl=en
J_57,Jakarta,Es Cendol Puas 99,Munchies,Es Cendol,<25.000,4.1,Street Snacks,Es Cendol Puas 99 menjual es cendol yang juga dilengkapi dengan tape dan alpukat. Es cendol cocok digunakan sebagai hidangan penutup yang menyegarkan.,081770808809
J_58,Jakarta,Es Cendol Durian SariSuji,Munchies,Cendol Durian,<25.000,4.5,Street Snacks,Es Cendol Durian SariSuji menjual es cendol yang dilengkapi oleh durian sebagai topping tambahan. Cocok digunakan sebagai minuman yang menyegarkan.,081285016090
J_59,Jakarta,Cincau Ciragil,Munchies,Es Cincau,<25.000,4.7,Street Snacks,"Cincau Ciragil menjual es cincau hijau dengan berbagai pilihan seperti gula jawa, gula cincau, gula jawa rasa alpukat, sirup cocopandan, susu gula aren, yakult, madu, dan lain sebagainya.",081584395452
J_60,Jakarta,Es Buah Segar Pak Daud,Munchies,Es buah,<25.000,4.6,Street Snacks,"Es Buah Segar Pak Daud menjual es buah dengan pilihan buah seperti buah naga, alpukat, melon, dan lain sebagainya. Es Buah Pak Daud cocok digunakan sebagai minuman yang dapat menyegarkan di tengah terik matahari.",089510205807
J_61,Jakarta,Ijah Juice,Munchies,Jus Buah,<25.000,5,Street Snacks,Ijah Juice menjual beraneka ragam jenis jus buah yang menyegarkan dan menyehatkan.,Jl. Pal Batu 3 No.23, RT.14/RW.11, Kuningan, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan
J_62,Jakarta,Es Buah & Es Teler Bapakè,Munchies,"Es buah, es teler",<25.000,4.7,Street Snacks,"Es Buah & Es Teler Bapakè menjual es buah dan es teler yang dilengkapi dengan berbagai buah, seperti alpukat, buah naga, degan, dan lain sebagainya. ",087781014766
J_63,Jakarta,Belleza Outlet,Fashion,Baju Rajut Wanita,25.000-50.000,4.6,Casual Fashion,Belleza Outlet menjual pakain wanita yang berbahan rajut dengan kualitas yang baik dan harga terjangkau.,https://shopee.co.id/bellezaoutletofficial
J_64,Jakarta,Yemima Collection,Fashion,Legging Anak Motif,<25.000,4.8,Casual Fashion,Yemima Collection menjual berbagai legging dengan motif yang berbeda-beda untuk anak kecil dengan harga yang terjangkau dan kualitas bagus.,https://shopee.co.id/rosinababan
J_65,Jakarta,Andalas Clothing,Fashion,Kaos Polos,25.000-50.000,4.8,Casual Fashion,Andalas Clothing menjual kaos polos dengan bahan yang berkualitas dan cocok digunakan untuk sehari-hari.,085103020077
J_66,Jakarta,Dienda Fashion,Fashion,Pakaian Wanita,>50.000,4.5,Formal Fashion,"Dienda Fashion menjual pakain wanita formal yang cocok untuk digunakan sebagai pakaian untuk kuliah, bekerja, maupun pergi ke acara-acara tertentu. ",082160052522
J_67,Jakarta,Polos.co.id,Fashion,Kaos Polos,<25.000,4.5,Casual Fashion,"Polos.co.id  menjual kaos polos dengan bahan yang berkualitas dan harga terjangkau, serta cocok digunakan untuk kegiatan sehari-hari",081806367878
