Index_Place,City,Name_SMEs,General_Category,Specialty,Price_Range,Rating,Goods
Y_11,Yogyakarta,Kerajinan Anyaman B Craft,Craft,Hiasan Dinding,25.000-50.000,4.9,Household Items
Y_12,Yogyakarta,Modemku Mega Sarana,Craft,Cobek Bakar Tanah Liat,<25.000,4.7,Daily Needs
Y_13,Yogyakarta,Marem Project,Craft,Alat Makan Kayu,<25.000,4.8,Daily Needs
Y_14,Yogyakarta,Jogja Aesthetic,Craft,Taplak Meja Anyaman,>50.000,5,Household Items
Y_15,Yogyakarta,Kay Home Decor,Craft,Perlengkapan Rumah Tangga,>50.000,4.9,Household Items
Y_16,Yogyakarta,Batik Pekalongan,Fashion,"Baju Batik, Kain Batik",>50.000,5,Formal Fashion
Y_17,Yogyakarta,Kaos Jogja Capung Tshirt,Fashion,Kaos Jogja,25.000-50.000,4.9,Casual Fashion
Y_18,Yogyakarta,Kunin Daster,Fashion,Daster Motif,<25.000,4.7,Casual Fashion
Y_19,Yogyakarta,Buytique Batik Bu Endang,Fashion,Baju Batik ,>50.000,5,Formal Fashion
Y_20,Yogyakarta,Ababil Hijab ,Fashion,Hijab Motif,<25.000,4.8,Casual Fashion
Y_21,Yogyakarta,Dewi Murah Batik Kaos Konveksi,Fashion,Baju Batik,25.000-50.000,4.8,Formal Fashion
Y_22,Yogyakarta,Cleosa Boutique,Fashion,"Baju Muslim, Baju Wanita",>50.000,5,Formal Fashion
Y_23,Yogyakarta,Toko Pakaian Serba 35000,Fashion,Pakaian Wanita dan Laki-laki,25.000-50.000,3.5,Casual Fashion
Y_24,Yogyakarta,Wiyoga,Fashion,Kaos Jogja,<25.000,4.8,Casual Fashion
Y_25,Yogyakarta,Arsha Knite,Fashion,Cardigan,25.000-50.000,4.7,Casual Fashion
Y_26,Yogyakarta,Tawa Snacks,Munchies,"Lanting, Kripik Pare, Kripik Belut",<25.000,4.8,Street Snacks
Y_27,Yogyakarta,Yangko Mira,Munchies,Yangko,<25.000,4.7,Street Snacks
Y_28,Yogyakarta,Gethuk Trio,Munchies,Gethuk Tiga Rasa,25.000-50.000,4.4,Snack
Y_29,Yogyakarta,Soklat'e Jogja,Munchies,Coklat,25.000-50.000,4.7,Snack
Y_30,Yogyakarta,Emhy Shop,Munchies,"Jenang Krasikan, Madu Mongso",25.000-50.000,4.9,Snack
Y_31,Yogyakarta,Batagor Siomay Putra Abimanyu,Munchies,Batagor,<25.000,4.3,Street Snacks
Y_32,Yogyakarta,Siomay Telkom Kotabaru,Munchies,Siomay,<25.000,4.4,Street Snacks
Y_33,Yogyakarta,Cilok Legend Bumbu Kacang,Munchies,Cilok,<25.000,3.9,Street Snacks
Y_34,Yogyakarta,Ayam Geprek Bu Made,F&B,Ayam Geprek,<25.000,4.7,Street Food
Y_35,Yogyakarta,Sate Klathak Pak Bari Pasar Wonokromo,F&B,Sate ,25.000-50.000,4.3,Main Course
